"ciudad","anio","modalidad_de_contratacion","contratos","valor"
"Boavita","2025","Contratación régimen especial (con ofertas)","2","845050841"
"Sogamoso","2024","Selección abreviada subasta inversa","39","5914595966.31"
"Tibasosa","2024","Mínima cuantía","64","1544538217.44"
"Paya","2019","Contratación régimen especial (con ofertas)","2","429273403"
"Betéitiva","2023","Mínima cuantía","4","81495658.56"
"Pauna","2024","Mínima cuantía","38","969336190.69"
"Viracachá","2022","Contratación régimen especial","6","42978000"
"Corrales","2026","Contratación directa","107","1526308364.81"
"Tuta","2024","Mínima cuantía","79","1841083566.95"
"Macanal","2019","Contratación régimen especial (con ofertas)","2","641219600"
"Santa Rosa De Viterbo","2020","Mínima cuantía","29","369419685"
"Tibasosa","2026","Contratación régimen especial","4","1105627146"
"Monguí","2025","Selección Abreviada de Menor Cuantía","2","276597036"
"Pisba","2024","Contratación régimen especial (con ofertas)","5","965387404.48"
"Caldas","2026","Contratación régimen especial","1","14904000"
"Cucaita","2020","Contratación régimen especial","1","166387726"
"Ramiriquí","2024","Contratación directa","118","2345711072"
"Boavita","2023","Contratación directa","11","71857050"
"Macanal","2023","Contratación directa","2","132551000"
"Pesca","2023","Contratación régimen especial (con ofertas)","3","859641015"
"Sativanorte","2022","Contratación régimen especial (con ofertas)","4","349329203.66"
"Sáchica","2025","Concurso de méritos abierto","1","84500000"
"Tunja","2022","Concurso de méritos abierto","33","25498546870.26"
"Oicatá","2026","Contratación directa","28","507396432"
"Macanal","2025","Selección Abreviada de Menor Cuantía","2","398250867.75"
"Siachoque","2018","Contratación régimen especial (con ofertas)","1","648107000"
"Susacón","2024","Contratación régimen especial (con ofertas)","5","520423434.01"
"No Definido","2024","Selección Abreviada de Menor Cuantía","39","7144792471.88"
"Monguí","2026","Mínima cuantía","24","551694351"
"Cómbita","2026","Licitación pública Obra Publica","1","4080866334"
"Sogamoso","2025","Concurso de méritos abierto","3","1264844185"
"Tibasosa","2026","Contratación directa","259","4813779443.78"
"Betéitiva","2025","Contratación régimen especial","2","159052857.14"
"Tuta","2024","Selección abreviada subasta inversa","6","726703733.69"
"Sogamoso","2026","Selección Abreviada de Menor Cuantía","20","5508994417.46"
"Guateque","2023","Mínima cuantía","20","293956731.62"
"Socotá","2025","Contratación régimen especial (con ofertas)","14","3158194209.80"
"Pauna","2026","Mínima cuantía","29","860974193.7"
"Santa María","2026","Contratación directa","70","2167516525.44"
"Chíquiza","2022","Contratación régimen especial (con ofertas)","3","493829614.06"
"Gameza","2025","Mínima cuantía","3","24360000"
"Samacá","2026","Contratación régimen especial","41","1015285534"
"Corrales","2025","Contratación directa","131","2267467458.29"
"Pauna","2023","Contratación directa","1","4200000"
"Almeida","2019","Contratación régimen especial (con ofertas)","1","62027313"
"Muzo","2021","Contratación régimen especial","2","28781022"
"Pesca","2023","Selección Abreviada de Menor Cuantía","1","196400000"
"Moniquirá","2024","Contratación régimen especial","5","601716266.14"
"Tópaga","2023","Contratación régimen especial (con ofertas)","4","5086356158.02"
"Gameza","2022","Contratación régimen especial","1","11500000"
"Tibasosa","2026","Contratación régimen especial (con ofertas)","12","3617312745.43"
"Betéitiva","2022","Contratación régimen especial (con ofertas)","6","612429903.66"
"Boavita","2024","Contratación régimen especial (con ofertas)","3","811973455.66"
"Sotaquirá","2021","Contratación directa","1","5000000"
"Tunja","2021","Licitación pública","16","47319842477.96"
"Tasco","2026","Concurso de méritos abierto","1","129795772.15"
"Duitama","2025","Licitación pública Obra Publica","1","802980474.05"
"Sáchica","2020","Mínima cuantía","15","237069071.5"
"Ciénega","2026","Contratación régimen especial (con ofertas)","2","995760171.4"
"Boyacá","2023","Contratación régimen especial","2","155267742"
"Caldas","2025","Concurso de méritos abierto","2","292121923.94"
"Sutamarchán","2026","Selección Abreviada de Menor Cuantía","2","646375874.49"
"Covarachía","2019","Contratación régimen especial (con ofertas)","1","134000000"
"Tota","2025","Contratación régimen especial (con ofertas)","9","2278237371"
"Viracachá","2018","Contratación régimen especial","1","73434000"
"Tibasosa","2024","Contratación directa","291","5096068061.9"
"Betéitiva","2024","Contratación directa","87","920027292"
"Tuta","2026","Selección abreviada subasta inversa","4","723664136"
"Moniquirá","2018","Contratación régimen especial (con ofertas)","4","1339833000"
"Socha","2020","Contratación régimen especial (con ofertas)","5","957209571"
"Tunja","2024","Licitación pública","26","84088314097.72"
"Sogamoso","2024","Licitación pública","10","19930333261"
"Somondoco","2026","Concurso de méritos abierto","1","159095354.43"
"Samacá","2023","Contratación régimen especial","77","753679152.87"
"Gachantivá","2023","Contratación régimen especial (con ofertas)","4","281564915"
"Sotaquirá","2025","Selección Abreviada de Menor Cuantía","9","1814622507.59"
"Gachantivá","2025","Mínima cuantía","42","959973684.16"
"Pauna","2026","Concurso de méritos abierto","1","134767500"
"Sutatenza","2025","Contratación régimen especial","4","180107220"
"Samacá","2026","Contratación régimen especial (con ofertas)","6","907924704"
"San Mateo","2025","Contratación régimen especial (con ofertas)","9","1721782925"
"Nobsa","2024","Contratación régimen especial","10","2068870500.3"
"San Mateo","2025","Concurso de méritos abierto","2","152713819.43"
"Sogamoso","2025","Contratación régimen especial (con ofertas)","29","34881989449.25"
"Chiquinquirá","2024","Mínima cuantía","68","1592059319.69"
"Duitama","2025","Contratación régimen especial","8","1927437095.99"
"Tunja","2025","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","2","1431453174"
"Oicatá","2024","Contratación directa","45","900077671.8"
"Cerinza","2025","Mínima cuantía","22","358745041.88"
"Tuta","2026","Contratación directa","148","1918349011.33"
"Motavita","2026","Contratación régimen especial (con ofertas)","1","234080000"
"Iza","2024","Selección abreviada subasta inversa","1","90000000"
"Sogamoso","2022","Concurso de méritos abierto","1","4077751212.4"
"Tasco","2019","Contratación régimen especial (con ofertas)","2","651223573"
"Samacá","2024","Mínima cuantía","51","1277293370"
"Iza","2025","Selección Abreviada de Menor Cuantía","5","494511449.44"
"Coper","2024","Selección abreviada subasta inversa","2","242132917"
"Maripí","2025","Selección Abreviada de Menor Cuantía","19","3593215256.68"
"Chiquinquirá","2025","Contratación régimen especial (con ofertas)","10","13094540155"
"No Definido","2025","Concurso de méritos abierto","8","1734439721.2"
"Tota","2025","Selección abreviada subasta inversa","1","195626305"
"San Pablo De Borbur","2024","Contratación directa","91","1877617549.7"
"No Definido","2020","Contratación régimen especial (con ofertas)","29","4884685669"
"Chita","2025","Contratación directa","141","2631932228.24"
"Ramiriquí","2026","Mínima cuantía","48","1247146426.96"
"Miraflores","2024","Contratación régimen especial (con ofertas)","18","6498305446.22"
"Puerto Boyacá","2022","Licitación pública Obra Publica","5","13375543723"
"Soatá","2026","Selección Abreviada de Menor Cuantía","2","394149388"
"Duitama","2022","Selección Abreviada de Menor Cuantía","23","8745154623.87"
"Tuta","2025","Selección abreviada subasta inversa","5","514604888"
"Betéitiva","2026","Contratación régimen especial (con ofertas)","5","658743569.08"
"Puerto Boyacá","2023","Contratación Directa (con ofertas)","13","12991264078"
"Chiquinquirá","2026","Concurso de méritos abierto","1","2651610216"
"Santana","2024","Contratación régimen especial (con ofertas)","6","1822691251.59"
"Boyacá","2024","Contratación régimen especial","2","61201243.85"
"Duitama","2023","Concurso de méritos abierto","4","846055008.6"
"Nuevo Colón","2024","Mínima cuantía","22","576865603.96"
"Moniquirá","2024","Selección Abreviada de Menor Cuantía","9","2028554526.34"
"Sogamoso","2026","Contratación régimen especial (con ofertas)","11","6119741817.23"
"Floresta","2026","Selección Abreviada de Menor Cuantía","2","667509426.16"
"Santa María","2024","Concurso de méritos abierto","1","70000000"
"San Eduardo","2023","Mínima cuantía","18","245385112.45"
"Sora","2026","Contratación directa","69","1341103235.0"
"Tunja","2025","Selección abreviada subasta inversa","92","2440979926393.29"
"Cucaita","2025","Contratación régimen especial (con ofertas)","6","1265475693"
"Samacá","2026","Selección Abreviada de Menor Cuantía","4","1165800684"
"No Definido","2021","Contratación régimen especial (con ofertas)","20","6537571887"
"Ráquira","2026","Selección Abreviada de Menor Cuantía","6","1597664711.94"
"Sogamoso","2022","Licitación pública Obra Publica","1","58251789794"
"Tinjacá","2026","Contratación Directa (con ofertas)","3","30973143.51"
"Soatá","2026","Enajenación de bienes con subasta","1","530000"
"Garagoa","2024","Mínima cuantía","60","1421892063.37"
"El Cocuy","2022","Contratación régimen especial (con ofertas)","5","1149606553.26"
"La Uvita","2022","Contratación régimen especial (con ofertas)","7","646530696.26"
"Samacá","2025","Concurso de méritos abierto","4","924578511"
"Sáchica","2021","Mínima cuantía","3","8483000"
"No Definido","2023","Contratación régimen especial (con ofertas)","52","26867932472.47"
"Samacá","2025","Licitación pública","1","1292800625"
"Motavita","2025","Selección abreviada subasta inversa","3","1062582518"
"Paz De Río","2026","Contratación directa","104","1890978915.9"
"Sogamoso","2024","Contratación Directa (con ofertas)","3","495140854.02"
"Firavitoba","2022","Contratación régimen especial (con ofertas)","3","622762066.53"
"Sora","2024","Mínima cuantía","49","1149577001.82"
"Duitama","2020","Mínima cuantía","42","884755615.96"
"Ramiriquí","2024","Selección abreviada subasta inversa","2","794682820.8"
"Chíquiza","2025","Contratación régimen especial (con ofertas)","1","46494000"
"Tota","2025","Contratación directa","117","2205159071.49"
"Guateque","2024","Contratación directa","179","2301488687.68"
"La Uvita","2025","Selección abreviada subasta inversa","1","247630670"
"Moniquirá","2024","Contratación directa","273","6092449081.60"
"Nobsa","2023","Contratación régimen especial","1","49000000"
"Pauna","2025","Contratación directa","142","3341651559.37"
"Pauna","2020","Contratación régimen especial (con ofertas)","1","312110500"
"Cerinza","2023","Contratación régimen especial (con ofertas)","5","971240030.74"
"Tinjacá","2025","Mínima cuantía","37","765204472.80"
"No Definido","2025","Contratación directa","1138","30336835676.18"
"Duitama","2024","Contratación directa","887","39525827436.23"
"Campohermoso","2022","Contratación régimen especial (con ofertas)","1","124349089.3"
"Caldas","2026","Mínima cuantía","31","718259503.27"
"Sutatenza","2026","Contratación régimen especial (con ofertas)","3","146092997"
"Umbita","2024","Contratación régimen especial (con ofertas)","3","267465359"
"Duitama","2024","Selección Abreviada de Menor Cuantía","13","3422248071.17"
"Duitama","2025","Contratación régimen especial (con ofertas)","5","4050857444"
"No Definido","2018","Contratación régimen especial","6","2394296760"
"Soatá","2026","Selección abreviada subasta inversa","1","191620000"
"Muzo","2024","Contratación régimen especial","1","7000000"
"Moniquirá","2024","Selección abreviada subasta inversa","6","3126771868.76"
"Belén","2025","Licitación pública Obra Publica","2","2649936257.46"
"Boyacá","2026","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","1","1305790296"
"Santana","2023","Mínima cuantía","3","81640131"
"Corrales","2019","Contratación régimen especial (con ofertas)","1","186408570"
"Santa María","2023","Contratación régimen especial (con ofertas)","3","339616348.98"
"Socotá","2025","Selección abreviada subasta inversa","6","1478313705"
"Nuevo Colón","2023","Contratación régimen especial (con ofertas)","6","1155087792.24"
"Caldas","2024","Contratación directa","60","884743744"
"Socotá","2018","Contratación régimen especial (con ofertas)","7","1063740906.4"
"El Cocuy","2023","Contratación directa","1","7000000"
"Caldas","2025","Mínima cuantía","37","740991942.16"
"Sogamoso","2025","Licitación pública Obra Publica","4","40322197536.28"
"Sutatenza","2021","Contratación régimen especial","1","115504000"
"El Cocuy","2025","Selección Abreviada de Menor Cuantía","8","2050425463.71"
"Tuta","2026","Mínima cuantía","45","1417535083.38"
"Santana","2026","Contratación régimen especial (con ofertas)","4","1293113041.34"
"Chiquinquirá","2024","Contratación Directa (con ofertas)","21","1181540000"
"Chitaraque","2025","Contratación régimen especial (con ofertas)","7","1933095412.26"
